Developer,Total_Sales,Avg_Critic_Score,Avg_User_Score,Title_Count
Full Fat,5.24,60.85,6.15,12
Bullfrog Productions,5.22,75.8,8.24,5
Artepiazza,5.18,74.8,8.0,5
H.A.N.D. Inc.,5.1,70.14,7.63,7
Indies Zero,5.04,75.0,7.32,9
Sega Am2,5.04,81.56,7.84,8
"Z-Axis, Ltd.",5.0,68.73,7.35,7
"Neversoft Entertainment, Budcat",4.98,82.0,8.2,1
"Kojima Productions, Moby Dick Studio",4.98,82.5,7.47,1
Ghost Games,4.98,77.4,5.12,1
Quantic Dream,4.93,81.8,7.92,3
"Naughty Dog, Sce/Wws",4.92,88.0,8.1,1
Respawn Entertainment,4.91,86.6,7.4,2
Tecmo,4.84,69.75,7.89,18
Acquire,4.82,65.69,7.92,10
Artoon,4.79,55.57,6.1,7
Natsume,4.77,61.27,7.59,22
Paradigm Entertainment,4.76,66.4,7.11,8
Nanaon-Sha,4.72,64.5,7.37,6
Matrix Software,4.68,72.11,7.77,8
Digital Illusions,4.68,72.36,7.49,12
Fox Interactive,4.66,62.5,8.0,1
Microsoft Game Studios,4.66,74.31,7.38,13
Eutechnyx,4.66,58.32,5.32,13
Monolith Soft,4.64,79.38,8.61,8
City Interactive,4.59,60.0,6.72,14
Team Fusion,4.55,71.8,7.86,5
2K Czech,4.54,78.4,7.86,2
2K Marin,4.49,77.83,7.38,2
Nufx,4.48,81.67,8.47,3
Id Software,4.48,75.75,6.51,4
Incognito Inc.,4.43,77.33,8.4,6
Nippon Ichi Software,4.38,74.59,7.45,22
Headstrong Games,4.32,73.14,7.83,6
Chunsoft,4.32,68.8,8.34,5
Irrational Games,4.31,91.5,8.53,2
Arkane Studios,4.3,83.0,7.43,4
Farsight Studios,4.27,65.29,7.42,9
Media Molecule,4.26,86.33,8.47,3
"Nintendo, Nd Cube",4.21,59.25,6.0,4
"Scee, Zoe Mode",4.2,80.0,7.5,1
Acclaim Studios Cheltenham,4.19,65.7,7.31,6
Wb Games Montreal,4.17,75.0,7.6,1
Machinegames,4.17,76.0,7.77,2
"Warner Bros. Interactive Entertainment, Netherrealm Studios",4.16,84.5,7.5,1
Scee,4.15,69.33,7.21,9
Black Rock Studio,4.11,78.4,7.7,2
Ea Salt Lake,4.06,72.5,6.82,2
Tantalus Interactive,4.04,66.07,7.21,12
Tango Gameworks,4.03,72.8,7.14,1
"Spike, Namco Bandai Games",4.02,72.5,8.8,1
Art,3.98,55.89,6.99,9
Ninja Theory,3.97,82.4,6.78,3
Free Radical Design,3.94,79.91,8.33,5
Monster Games Inc.,3.92,75.5,8.08,7
Day 1 Studios,3.91,74.78,6.91,5
Rockstar Studios,3.9,86.67,7.73,1
Etranges Libellules,3.89,62.8,7.07,3
Monkey Bar Games,3.87,63.81,6.47,6
"Scea, Zindagi Games",3.84,76.0,7.9,1
"Nintendo, Namco Bandai Games",3.83,59.0,4.0,1
Milestone S.R.L,3.78,68.17,7.01,16
Project Aces,3.76,75.33,7.35,5
