Developer,Total_Sales,Avg_Critic_Score,Avg_User_Score,Title_Count
"K2, Kurogane",0.14,35.0,6.7,1
Culture Brain,0.14,69.0,7.5,1
"Beenox, Other Ocean Interactive",0.14,50.0,7.5,1
Infogrames,0.14,71.5,8.15,2
Black Hole Games,0.14,64.0,7.05,2
Amanita Design,0.14,83.5,8.55,2
"Aqua Pacific, In2Games",0.14,73.5,6.9,1
Ivolgamus,0.14,66.5,7.5,2
Starsphere Interactive,0.14,41.5,6.15,1
"Spark Unlimited, Comcept",0.14,46.5,4.9,1
"Spike Chunsoft, Chime",0.14,82.0,8.4,1
Fatshark Ab,0.14,36.0,3.65,1
Nikitova Games,0.14,46.33,6.57,2
Southpeak Games,0.14,58.0,5.23,2
Jv Games Inc.,0.13,66.0,8.1,1
"Ubisoft, Moss",0.13,71.0,7.5,1
"Pam Development, 2K Sports",0.13,65.0,7.5,1
"Microids, Dreamcatcher",0.13,52.0,7.5,1
Virtual Air Guitar Company,0.13,56.0,7.8,1
"Big Blue Bubble Inc., Scholastic, Inc.",0.13,71.0,7.5,1
"Venan Entertainment, Cashmere Prod.",0.13,80.0,8.3,1
Sunflowers Interactive,0.13,78.0,7.5,1
"Rocksteady Studios, Iron Galaxy Studios",0.13,70.0,2.5,1
Ir Gurus Interactive Ltd.,0.13,76.0,8.2,1
"Phosphor Games Studio, Llc",0.13,24.0,3.5,1
Attention Software,0.13,58.0,7.5,1
Premium Agency,0.13,57.0,5.0,1
Syscom,0.13,63.0,6.2,1
Glyphx Games,0.13,68.0,7.5,1
Acot,0.13,64.0,7.5,1
Hot Lava Games,0.13,60.0,8.3,1
Nfusion,0.13,37.0,3.0,1
Ev Interactive,0.13,71.0,7.5,1
Kokolo Corporation,0.13,51.0,7.5,1
Curly Monsters,0.13,70.0,8.1,1
Freedom Factory Studios,0.13,71.0,6.2,1
Gravity-I,0.13,58.5,7.5,2
Deadline Games,0.13,72.0,8.8,2
2K Play,0.13,71.0,7.5,1
Noise Factory,0.13,75.0,7.9,2
Uga,0.13,78.5,8.45,2
G-Artists,0.13,63.5,7.4,2
Monte Cristo Multimedia,0.13,68.67,6.5,3
Playrix Entertainment,0.13,71.0,7.47,3
Psikyo,0.12,63.0,8.2,1
Tiertex Design Studios,0.12,53.0,7.5,1
Warashi,0.12,68.0,7.5,1
Beep Industries,0.12,73.0,8.4,1
I-Imagine,0.12,60.0,7.4,1
"Mindscape Inc., Mindscape",0.12,59.0,7.5,1
"Game Arts, Japan Art Media (Jam)",0.12,59.0,6.2,1
Midway Studios - Newcastle,0.12,55.0,7.5,1
Bip Games,0.12,71.0,7.5,1
Zeroscale,0.12,59.0,7.5,1
369 Interactive,0.12,45.0,7.3,1
Puzzle.Tv,0.12,71.0,7.5,1
Visual Sciences,0.12,81.0,6.4,1
Happy Happening,0.12,55.0,7.25,2
Pronto Games,0.12,55.0,7.5,3
Clockwork Games,0.12,69.5,7.5,2
Milestone,0.12,66.5,8.3,2
Trine Games,0.12,71.0,7.5,2
Interplay,0.12,65.0,4.8,1
Pendulo Studios,0.12,73.33,7.87,2
"Orbital Media, Inc.",0.12,76.5,8.75,2
Animation Arts,0.11,77.0,7.9,1
"Nippon Ichi Software, Hit Maker",0.11,50.0,6.2,1
Tactical Development,0.11,44.0,7.5,1
"Artificial Studios, Immersion Software & Graphics",0.11,55.0,5.2,1
Microsoft Game Studios Japan,0.11,81.0,8.5,1
Agatsuma Entertainment,0.11,71.0,7.5,1
"Ea Tiburon, N-Space",0.11,58.0,7.5,1
Void Productions,0.11,71.0,7.5,1
Santa Entertainment,0.11,62.0,7.4,1
Big Head Games Ltd.,0.11,71.0,7.5,1
Big Blue Entertainment,0.11,35.0,7.5,1
"Amaze Entertainment, Vivendi Games",0.11,59.0,7.5,1
Bionic Games,0.11,66.0,6.3,1
Mere Mortals,0.11,71.0,7.5,1
Pentavision Entertainment,0.11,77.0,6.5,1
Xpec Entertainment Inc.,0.11,50.0,7.5,1
Behavior Studios,0.11,55.0,7.5,1
Vanguard,0.11,79.0,8.5,1
Hoplite Research,0.11,56.0,4.15,1
Atomic Motion,0.11,38.5,3.3,1
B-Alive,0.11,71.0,7.5,2
Kando Games,0.11,53.5,7.5,2
Egosoft,0.11,53.0,5.6,2
"10Tacle Studios, Fusionsphere Systems",0.11,68.0,7.6,1
Knowwonder,0.11,69.67,7.8,3
"Deep Silver, Keen Games",0.1,56.0,3.4,1
"Seamless Entertainment, Inc.",0.1,71.0,7.5,1
"Joindots, Mastertronic",0.1,71.0,7.5,1
Arts Software,0.1,71.0,7.5,1
"Monolith Soft, Namco Bandai Games",0.1,75.0,8.9,1
"Red Entertainment, Compile Heart",0.1,71.0,6.8,1
"Thq, Awe Games",0.1,71.0,7.5,1
B.B.Studio,0.1,71.0,7.5,1
8Monkey Labs,0.1,44.0,4.8,1
Natsume Atari Inc.,0.1,71.0,8.25,2
Milestone Inc.,0.1,53.0,6.45,2
Direct Action Games,0.1,57.5,4.85,2
5000Ft,0.1,62.0,6.4,1
"Metanet Software Inc., Silverbirch Studios",0.1,80.5,7.6,1
Whitebear,0.1,62.5,7.5,1
"Eutechnyx, Deep Silver",0.1,16.0,1.15,1
Skyriver Studios,0.1,47.67,5.57,3
Wicked Witch Software,0.1,69.25,7.1,1
"Crave, Dtp Entertainment",0.09,71.0,7.5,1
Odenis Studio,0.09,73.0,7.3,1
Realmforge Studios,0.09,65.0,4.6,1
Sarbakan Inc.,0.09,57.0,7.5,1
"Entersphere, Inc.",0.09,57.0,6.6,1
Infinite Machine,0.09,56.0,7.5,1
Aqua Pacific,0.09,71.0,6.0,1
Prosoft,0.09,85.0,8.8,1
"Activision, Activision Blizzard",0.09,71.0,7.5,1
"Sce/Wws, Sce Japan Studio",0.09,79.0,7.7,1
"Mastertronic, V5 Play Studio",0.09,70.0,7.5,1
"Ambrella, The Pokemon Company",0.09,58.0,6.4,1
Metro3D,0.09,53.0,5.6,1
Zushi Games Ltd,0.09,71.0,7.5,1
Housemarque,0.09,74.0,9.2,1
"Ea Canada, Exient Entertainment",0.09,56.0,7.5,1
"Activision, Traveller'S Tales",0.09,63.0,7.2,1
"Jack Of All Games, Ev Interactive",0.09,71.0,7.5,1
G1M2,0.09,56.0,8.2,1
"Timegate Studios, Day 1 Studios",0.09,66.0,7.1,1
Irock Interactive,0.09,56.0,7.5,1
Tabot,0.09,45.0,7.5,1
Indi,0.09,63.0,7.1,1
"Milestone, Milestone S.R.L",0.09,73.5,7.1,1
Purple Hills,0.09,71.0,7.5,1
Battleborne,0.09,55.0,7.5,1
Quicksilver Software,0.09,63.5,7.45,1
Ci Games,0.09,39.0,5.9,1
1C: Maddox Games,0.09,73.0,7.95,2
Iridon Interactive Ab,0.09,69.0,8.0,2
Dusenberry Martin Racing,0.09,68.5,2.7,1
Ascaron Entertainment Gmbh,0.09,72.33,7.7,3
Eci,0.08,38.0,3.2,1
Silverbirch Studios,0.08,71.0,7.5,1
Valcon Games,0.08,71.0,7.5,1
Gulti,0.08,73.0,7.5,1
Tectonic Studios,0.08,71.0,6.3,1
"Ea Canada, Sensory Sweep",0.08,34.0,6.5,1
Wide Games,0.08,64.0,7.5,1
Amedio,0.08,71.0,8.9,1
Digital Leisure Inc.,0.08,31.0,5.0,1
Mobile 21,0.08,78.0,7.5,1
Maximum Family Games,0.08,71.0,7.5,1
Foundation 9 Entertainment,0.08,47.0,7.5,1
Telenet,0.08,72.0,9.3,1
Osaka Studio,0.08,71.0,7.5,1
Kheops Studio,0.08,56.0,7.8,1
Toka,0.08,39.0,5.8,1
Mid Carolina Media,0.08,28.0,7.5,1
"Thq, Independent Arts",0.08,71.0,7.5,1
Mekensleep,0.08,78.0,8.0,1
Wicked Studios,0.08,69.0,7.5,1
Revistronic,0.08,71.0,7.5,1
Metropolis Software,0.08,35.0,5.3,1
Anchor Bay Entertainment,0.08,71.0,7.5,1
Pinegrow,0.08,75.0,8.0,1
Ubisoft Barcelona,0.08,54.0,5.7,1
Neopica,0.08,71.0,7.5,2
Global Star Software,0.08,71.0,7.5,2
Klein Computer Entertainment,0.08,60.5,7.5,2
Kunos Simulazioni,0.08,68.0,6.45,1
Extra Mile Studios,0.08,55.5,7.5,1
Arkedo Studio,0.08,74.0,7.85,2
Andamiro U.S.A. Corp.,0.08,73.5,7.95,1
Zig Zag,0.08,71.0,7.5,2
"Taito Corporation, 505 Games",0.08,41.0,4.65,2
Foreign Media,0.08,71.0,7.5,2
Poptop Software,0.08,73.0,7.3,2
Easy Interactive,0.08,71.0,7.5,3
Nitro Games,0.08,68.67,6.13,3
Roxor Games,0.07,72.0,9.0,1
Runic Games,0.07,83.0,8.0,1
Spidermonk,0.07,68.0,7.5,1
Koei Canada,0.07,66.0,7.5,1
Awesome Play Ltd.,0.07,37.0,3.8,1
"Art Co., Ltd.",0.07,54.0,6.3,1
Studioblack Games,0.07,71.0,7.5,1
Exozet,0.07,71.0,7.5,1
Yoostar Entertainment Group,0.07,49.0,7.5,1
Vogster,0.07,78.0,8.6,1
Skonec,0.07,44.0,7.5,1
Zeptolab,0.07,71.0,7.5,1
Idol Fx,0.07,22.0,1.8,1
Goshow,0.07,56.0,8.3,1
Leviathan Games,0.07,33.0,2.7,1
Box Clever Interactive,0.07,35.0,5.6,1
Attractive Games,0.07,71.0,7.5,1
Sabertooth Games,0.07,55.0,7.4,1
"Ubisoft, Funhouse",0.07,72.0,7.8,1
Enterbrain,0.07,58.0,7.8,1
Universomo,0.07,70.0,7.5,1
Interactive Brains,0.07,57.0,8.8,1
Doublesix,0.07,49.0,4.4,1
Synetic,0.07,56.0,8.1,1
Jupiter Multimedia,0.07,71.0,7.5,1
Epicenter Interactive,0.07,71.0,7.5,1
Plato,0.07,66.0,7.5,1
Blast! Entertainment Ltd,0.07,71.0,7.5,2
Puzzlekings,0.07,69.0,6.8,1
"Targem Games, Topware Interactive",0.07,71.0,7.5,1
Best Way,0.07,74.0,6.5,2
Naps Team,0.07,60.0,7.65,2
Ironclad Games,0.07,79.0,8.05,2
Lsp,0.07,60.67,7.5,3
"Vicious Cycle, Little Orbit",0.07,71.0,7.27,1
Paradox Interactive,0.07,70.67,7.77,3
Silver Wish Games,0.06,62.0,5.0,1
Runtime,0.06,69.0,7.9,1
Gammick Entertainment,0.06,61.0,7.5,1
Dip Interactive,0.06,41.0,2.4,1
"Ironnos Co.,Ltd.",0.06,78.0,7.5,1
Dreamrift,0.06,79.0,8.0,1
Snapdragon,0.06,71.0,7.5,1
Brainbox Games,0.06,32.0,5.8,1
Mba International,0.06,57.0,7.5,1
"505 Games, Sarbakan Inc.",0.06,71.0,0.9,1
Nitro+,0.06,83.0,8.7,1
"Humongous Entertainment, Mistic Software",0.06,71.0,7.5,1
Mystic Software,0.06,71.0,7.5,1
Ea Japan Studio,0.06,72.0,7.6,1
Headfirst Productions,0.06,77.0,8.1,1
Mikoishi,0.06,66.0,7.5,1
Farmind Ltd,0.06,71.0,7.5,1
Midas Interactive Entertainment,0.06,71.0,7.5,1
Valhalla Game Studios,0.06,43.0,6.5,1
"Treyarch, Infinity Ward",0.06,71.0,7.5,1
"Left Field Productions, Zoo Games",0.06,53.0,7.5,1
Anino Entertainment,0.06,71.0,7.5,1
Singletrac,0.06,27.0,7.5,1
"Rebellion, Neversoft Entertainment",0.06,73.0,7.6,1
"Dimps Corporation, Dream Execution",0.06,71.0,7.5,1
Design Factory,0.06,71.0,6.5,1
Zoonami Ltd.,0.06,68.0,7.5,1
Aquria,0.06,71.0,7.5,1
Cave Barn,0.06,53.0,7.5,1
Radius9,0.06,37.0,7.5,1
Iron Lore Entertainment,0.06,77.0,8.1,1
Ninja Studio,0.06,65.0,7.9,1
Fluid Studios,0.06,60.5,4.95,2
Big John Games,0.06,60.0,7.5,2
Vstep,0.06,55.5,6.4,2
Opera House,0.06,71.0,7.5,2
"Capcom, Qloc",0.06,74.0,6.15,2
Tilted Mill,0.06,68.5,5.95,2
Circle,0.06,45.0,4.25,1
People Can Fly,0.06,74.5,7.75,2
"Viva Media, Viva Media, Llc",0.06,65.0,6.65,2
Big Fish Games,0.06,71.0,7.5,2
Twelve Games,0.06,36.0,7.5,1
"Activision, Behaviour Interactive",0.06,65.0,7.7,1
Slitherine,0.05,42.0,7.5,1
Codo Games,0.05,78.0,9.1,1
Red Wagon Games,0.05,71.0,7.5,1
Cowboy Rodeo,0.05,36.0,7.5,1
Cranberry Production,0.05,76.0,6.7,1
Ldw,0.05,71.0,7.5,1
Imagineer,0.05,51.0,8.0,1
Fresh 3D,0.05,71.0,7.5,1
Studio Archcraft,0.05,58.0,7.5,1
"Thq, 1C, 1C Company",0.05,77.0,8.2,1
Just For Fun,0.05,71.0,7.5,1
"Eidos Interactive, Tantalus Interactive",0.05,71.0,7.5,1
Neon Studios,0.05,72.0,7.3,1
Navarre Corp,0.05,71.0,7.5,1
"Buka Entertainment, Targem Games",0.05,33.0,6.6,1
Ubisoft Porto Alegre,0.05,71.0,7.5,1
Smartdog,0.05,69.0,7.5,1
"Next Level Games, Nintendo",0.05,64.0,5.1,1
One Man Band,0.05,52.0,7.5,1
Carapace,0.05,48.0,7.5,1
Liquid Dragon Studios,0.05,56.0,5.9,1
Tigon,0.05,71.0,5.5,1
Stainless Steel Studios,0.05,81.0,8.2,1
Braingame,0.05,71.0,7.5,1
Max Five,0.05,62.0,8.7,1
Flying Tiger Development,0.05,71.0,6.7,1
Konami Software Shanghai,0.05,64.0,7.3,1
Bright Future Gmbh,0.05,72.0,3.9,1
Hyper-Devbox,0.05,71.0,7.5,1
Avit-Niigata,0.05,71.0,7.5,1
Kunst-Stoff,0.05,71.0,7.5,1
Xs Games,0.05,71.0,7.5,2
"Frozenbyte, Inc.",0.05,82.0,8.3,2
Impressions Games,0.05,71.0,8.65,2
"1C, Ino-Co, 1C Company",0.05,71.5,7.4,1
Otomate,0.05,71.0,7.5,2
Black Sea Studios,0.05,70.0,8.6,2
Glyphic Entertainment,0.05,71.0,7.5,2
Killaware,0.04,48.0,6.2,1
F84 Games,0.04,71.0,7.5,1
Interactive Vision Games,0.04,48.0,7.5,1
Systemsoft,0.04,74.0,8.8,1
G.Rev,0.04,60.0,6.1,1
Fusionsphere Systems,0.04,66.0,7.4,1
"Examu, Marvelous Inc.",0.04,70.0,6.9,1
Gaslamp Games,0.04,58.0,3.8,1
Ubisoft Osaka,0.04,46.0,5.8,1
Paprikari,0.04,56.0,7.5,1
Snap Dragon Games,0.04,70.0,8.6,1
7Raven Studios,0.04,71.0,7.5,1
"Alawar Entertainment, Inc, Alawar Entertainment",0.04,71.0,7.5,1
Sabarasa Entertainment,0.04,71.0,7.5,1
"Atari, Slightly Mad Studios, Atari Sa",0.04,62.0,4.9,1
Nival Interactive,0.04,77.0,7.9,1
M4 Limited,0.04,42.0,7.5,1
Hoget,0.04,71.0,7.5,1
Delta Factory,0.04,71.0,7.5,1
"Alchemist, Inti Creates",0.04,71.0,8.1,1
Avalon Style,0.04,60.0,6.4,1
Blue 52,0.04,51.0,7.4,1
Dovetail Games,0.04,71.0,4.0,1
Nightlight Studios,0.04,39.0,7.4,1
Enjoyup Games,0.04,68.0,7.3,1
"Reloaded Productions, Reloaded Games Inc.",0.04,56.0,5.7,1
Noway Studio,0.04,44.0,6.9,1
Pqube,0.04,71.0,7.5,1
System Prisma,0.04,68.0,6.3,1
"Volition Inc., Cd Projekt Red Studio, Cd Projekt, Cd Projekt Localisation Centre",0.04,72.0,6.8,1
Inlight Entertainment,0.04,67.0,8.2,1
Urban Games,0.04,70.0,7.0,1
2D Boy,0.04,90.0,8.5,1
"Fusionsphere Systems, Animation Arts",0.04,64.0,7.1,1
Gaia (Sony),0.04,66.0,6.8,1
"Introversion, Double Eleven",0.04,77.0,7.35,1
Mentor Interactive,0.04,71.0,7.5,2
"Neon Studios, Kaiko",0.04,64.5,6.75,1
Autumn Moon,0.04,70.5,8.0,2
Playstos Entertainment,0.04,57.0,7.25,2
1C:Ino-Co,0.04,71.0,7.3,2
Vanpool,0.04,71.0,7.5,2
Tate Interactive,0.04,57.5,8.1,1
Dreamcatcher Interactive,0.03,71.0,7.9,1
Enlight Software,0.03,58.0,2.5,1
Ravenscourt,0.03,71.0,7.5,1
Ice-Pick Lodge,0.03,77.0,8.3,1
Battlegoat Studios,0.03,63.0,6.8,1
"Cyberplanet Interactive Public Co., Ltd., Maximum Family Games",0.03,71.0,7.5,1
Voxler,0.03,71.0,7.5,1
Super Empire,0.03,45.0,5.7,1
"Volition Inc., Reactor Zero",0.03,82.0,7.5,1
"Eidos Montreal, Nixxes Software",0.03,83.0,6.1,1
Sonnori,0.03,48.0,4.9,1
Magnin & Associates,0.03,71.0,7.5,1
"Edmund Mcmillen, Florian Himsl",0.03,84.0,8.3,1
Tiwak,0.03,62.0,6.2,1
Zuxxez,0.03,71.0,7.5,1
Opus Studio,0.03,60.0,7.2,1
"Gameinvest, Seed Studios, Lda",0.03,31.0,5.4,1
Big Time Software,0.03,62.0,3.3,1
Magicpot,0.03,76.0,7.5,1
Confounding Factor,0.03,67.0,7.0,1
Will,0.03,71.0,7.5,1
Eagle Dynamics,0.03,76.0,7.5,1
Headup Games,0.03,72.0,8.1,1
"Engine Software, Re-Logic",0.03,71.0,6.9,1
"Pm Studios Inc., Pentavision Entertainment",0.03,71.0,4.6,1
Zslide,0.03,55.0,6.5,1
Tragnarion Studios,0.03,68.0,7.5,1
"Big Blue Bubble Inc., Breakthrough New Media",0.03,62.0,7.5,1
Prograph,0.03,35.0,8.0,1
Celeris,0.03,62.0,7.5,1
Nec Interchannel,0.03,78.0,8.9,1
Panther Software,0.03,44.0,7.2,1
"Number None Inc., Knockout Games",0.03,90.0,8.6,1
Team6 Game Studios,0.03,71.0,7.5,1
Targem Games,0.03,69.0,5.9,1
Still Alive Studios,0.03,46.0,6.1,1
"Machineworks Northwest, Wxp",0.03,71.0,7.5,1
Headlock,0.03,55.0,7.5,1
Arrowhead Game Studios,0.03,74.0,7.6,1
Mastertronic,0.03,71.0,7.5,1
Sandlot Games,0.03,71.0,7.5,1
Ec Interactive Games,0.03,71.0,7.5,1
"Frontier Developments, Various",0.03,71.0,3.2,1
Crea-Tech,0.03,62.0,7.3,1
Cyber Planet,0.03,71.0,7.5,1
Zigzagisland,0.03,71.0,7.5,1
"1C, 1C Company",0.03,88.5,8.7,2
Planet Interactive,0.03,59.5,7.5,2
Oberon Media,0.03,71.0,7.5,2
Babylon Software,0.03,54.0,7.5,2
Gameness Art Software,0.02,26.0,3.7,1
Dracue,0.02,67.0,7.5,1
Mindware Studios,0.02,60.0,8.0,1
Ea Mythic,0.02,86.0,7.9,1
"Atomic Planet Entertainment, Mud Duck Productions",0.02,30.0,4.2,1
Minds-Eye Productions,0.02,71.0,7.5,1
Sek Ost,0.02,71.0,8.3,1
The Tangentlemen,0.02,62.0,6.5,1
Multimedia Intelligence Transfer,0.02,62.0,8.3,1
Rainbow S.P.A.,0.02,71.0,7.5,1
Cryptic Studios,0.02,66.0,6.2,1
"Edge Entertainment, Anima Project",0.02,52.0,7.9,1
Fakt Software,0.02,71.0,7.5,1
Boxed Dream,0.02,73.0,8.2,1
Lead Pursuit,0.02,90.0,8.6,1
"Punchline, Shirogumi",0.02,59.0,8.6,1
"The Digital Lounge, Dino Dini",0.02,31.0,4.5,1
Beluga Computer,0.02,46.0,7.7,1
Kat Games,0.02,71.0,7.5,1
Strawdog Studios,0.02,71.0,7.5,1
Interserv International,0.02,58.0,6.5,1
Trendy Entertainment,0.02,81.0,7.3,1
"United Coders, Wizardry Engineering",0.02,63.0,7.5,1
Melesta,0.02,71.0,7.5,1
Alternative Software,0.02,71.0,7.5,1
"Mediascape, Cubetype",0.02,55.0,4.7,1
Jowood Entertainment Ag,0.02,59.0,7.7,1
Master Creating,0.02,57.0,5.8,1
Small Rockets,0.02,67.0,7.5,1
Mana Comp. Soft.,0.02,64.0,7.5,1
Phenomedia,0.02,39.0,7.5,1
Touchdown Entertainment,0.02,33.0,2.8,1
Turbine Inc.,0.02,85.0,8.2,1
Enigma Software Productions,0.02,71.0,6.4,1
Nvizzio Creations,0.02,43.0,2.4,1
"Unigine Corp, Russia",0.02,67.0,6.5,1
Flagship Studios,0.02,70.0,6.3,1
Apollosoft,0.02,69.0,7.9,1
Ancient,0.02,77.0,7.5,1
Zoo Digital Publishing,0.02,71.0,7.5,1
"Ufo Interactive, Cyberplanet Interactive Public Co., Ltd.",0.02,71.0,7.5,1
Infogrames Sheffield,0.02,62.0,8.8,1
"Headup Games, Crenetic Studios",0.02,50.0,4.7,1
Tose Software,0.02,78.0,8.4,1
Pterodon,0.02,74.0,8.7,1
Strangelite,0.02,46.0,6.1,1
Deep Red,0.02,67.0,8.3,1
Paws,0.02,39.0,7.5,1
White Birds Productions,0.02,54.0,7.5,1
Agetec,0.02,65.0,7.5,1
Farsight Technologies,0.02,57.0,7.5,1
Tranji,0.02,46.0,4.0,1
"Vicious Cycle, Infinite Interactive",0.02,84.0,8.0,1
"Telegames, Inc.",0.02,71.0,7.5,1
"Sanuk Software Co., Ltd., Sanuk Games",0.02,71.0,7.5,1
Gameco,0.02,67.0,5.7,1
Virtual Play Inc.,0.02,71.0,7.5,1
"Yuke'S, Yuke'S Company Of America",0.02,70.0,7.5,1
Funbox Media,0.02,71.0,7.5,1
Metia Interactive,0.02,60.0,7.5,1
Flying Lab Software,0.02,76.0,7.6,1
Squashy Software,0.02,59.0,7.5,1
Hokus Pokus,0.02,59.0,7.5,1
Oefun,0.02,60.0,7.5,1
Chayowo Games,0.02,71.0,7.5,1
Boomzap,0.02,60.0,7.5,1
Logris Games,0.02,71.0,7.5,1
Ino-Co,0.02,71.0,8.3,1
Red 5 Software,0.02,68.0,7.5,1
"Cyberplanet Interactive Public Co., Ltd.",0.02,71.0,7.5,1
Elixir Studios,0.02,75.0,8.3,1
The Odd Gentlemen,0.02,71.0,7.5,1
King Of The Jungle,0.02,47.0,7.4,1
Compulsion Games,0.01,62.0,7.7,1
"Camouflaj, Llc",0.01,72.0,5.8,1
777 Studios,0.01,71.0,7.9,1
Subterranean Games,0.01,65.0,7.7,1
"Interworks Unlimited, Inc.",0.01,71.0,7.5,1
Black Bean Games,0.01,65.0,7.5,1
"Dma Design, Rockstar North",0.01,93.0,8.4,1
"Spidersoft, Spiders",0.01,56.0,6.8,1
"1C, Various, 1C Company",0.01,71.0,7.5,1
"Tecmo, Graphic Research",0.01,79.0,9.4,1
Tml-Studios,0.01,71.0,7.5,1
"Battlefront.Com, 1C, 1C Company",0.01,66.0,6.2,1
Blue Tea Games,0.01,71.0,7.5,1
Ea Phenomic,0.01,75.0,7.0,1
Empty Clip Studios,0.01,75.0,8.5,1
Next Wave Team,0.01,37.0,7.5,1
Triple Eh? Ltd,0.01,71.0,7.5,1
Tdk Mediactive,0.01,27.0,3.1,1
Headgate,0.01,91.0,4.5,1
Dtp Young Entertainment Ag,0.01,71.0,7.5,1
Coffee Stain Studios,0.01,53.0,6.3,1
Societe Pollene,0.01,54.0,7.5,1
Boston Animation,0.01,61.0,6.4,1
React Games,0.01,42.0,2.3,1
"Bigben Interactive, Red Wagon Games",0.01,71.0,7.5,1
Papyrus,0.01,71.0,7.5,1
Inferno Games,0.01,78.0,9.5,1
Katauri Interactive,0.01,82.0,8.6,1
"High Moon Studios, Mercenary Technologies",0.01,78.0,7.9,1
"Infinite Dreams, Paragon 5",0.01,81.0,9.5,1
Big Red Software,0.01,51.0,3.8,1
Atomic Games,0.01,61.0,5.8,1
Interchannel-Holon,0.01,48.0,7.5,1
