Publisher,Years_Active,First_Year,Last_Year,Total_Sales,Avg_Critic_Score,Title_Count
Falcom Corporation,6,2007,2013,1.23,72.5,13
Russel,3,2007,2010,1.21,73.5,6
Black Label Games,0,2002,2002,1.2,59.0,1
Milestone S.R.L.,2,2014,2016,1.2,68.73,4
Gathering Of Developers,3,2001,2004,1.19,62.0,7
Playlogic Game Factory,4,2005,2009,1.19,56.43,10
Bmg Interactive Entertainment,2,1996,1998,1.18,71.0,7
Aruze Corp,1,1999,2000,1.18,71.0,3
Jester Interactive,3,2002,2005,1.15,69.33,3
Trion Worlds,1,2012,2013,1.14,63.5,2
Gust,17,1996,2013,1.1,70.85,13
Gremlin Interactive Ltd,2,1996,1998,1.1,71.0,9
Acquire,8,2006,2014,1.08,70.23,12
Epoch,9,1991,2000,1.05,71.0,7
Mentor Interactive,2,2009,2011,1.03,71.0,5
Telegames,11,1999,2010,1.02,74.12,8
O-Games,2,2009,2011,1.0,69.41,12
Big Ben Interactive,11,2002,2013,0.98,68.86,7
Nippon Columbia,4,2012,2016,0.98,71.0,7
Ie Institute,6,2006,2012,0.96,71.0,5
Snk Playmore,15,1995,2010,0.96,70.72,17
Broccoli,10,2006,2016,0.96,71.0,22
Jorudan,4,1999,2003,0.95,71.0,3
Sunsoft,17,1994,2011,0.95,70.6,10
Xseed Games,4,2012,2016,0.94,66.6,5
Ufo Interactive,5,2007,2012,0.94,69.06,14
Screenlife,3,2013,2016,0.91,66.17,5
Cto Spa,1,1996,1997,0.9,71.0,2
Dreamcatcher Interactive,9,2001,2010,0.9,68.18,17
Victor Interactive,9,1993,2002,0.89,71.67,8
"Destination Software, Inc",7,2001,2008,0.88,71.67,12
Talonsoft,0,2001,2001,0.87,48.0,1
"Mixi, Inc",0,2015,2015,0.87,71.0,1
Quelle,0,1982,1982,0.87,71.0,1
Funbox Media,1,2011,2012,0.87,69.2,4
Harmonix Music Systems,0,2015,2015,0.85,78.5,1
Mud Duck Productions,1,2003,2004,0.85,63.33,2
Ackkstudios,3,2009,2012,0.83,71.4,9
Conspiracy Entertainment,9,2001,2010,0.83,63.36,13
Mystique,0,1981,1981,0.82,71.0,1
Novalogic,4,2005,2009,0.82,63.33,2
Square Ea,0,1999,1999,0.8,80.0,1
Paradox Interactive,9,2007,2016,0.79,71.57,23
